,road,abbrevs
61,US 48,"us 48,us-48,us48,u.s. 48,u.s.-48,u.s.48,us route 48,us route-48,us route48,u.s. route 48,u.s. route-48,u.s. route48,us rte 48,us rte-48,us rte48,u.s. rte 48,u.s. rte-48,u.s. rte48,us-route 48,us-route-48,us-route48,u.s.-route 48,u.s.-route-48,u.s.-route48,us-rte 48,us-rte-48,us-rte48,u.s.-rte 48,u.s.-rte-48,u.s.-rte48"
62,US 49,"us 49,us-49,us49,u.s. 49,u.s.-49,u.s.49,us route 49,us route-49,us route49,u.s. route 49,u.s. route-49,u.s. route49,us rte 49,us rte-49,us rte49,u.s. rte 49,u.s. rte-49,u.s. rte49,us-route 49,us-route-49,us-route49,u.s.-route 49,u.s.-route-49,u.s.-route49,us-rte 49,us-rte-49,us-rte49,u.s.-rte 49,u.s.-rte-49,u.s.-rte49"
63,US 50,"us 50,us-50,us50,u.s. 50,u.s.-50,u.s.50,us route 50,us route-50,us route50,u.s. route 50,u.s. route-50,u.s. route50,us rte 50,us rte-50,us rte50,u.s. rte 50,u.s. rte-50,u.s. rte50,us-route 50,us-route-50,us-route50,u.s.-route 50,u.s.-route-50,u.s.-route50,us-rte 50,us-rte-50,us-rte50,u.s.-rte 50,u.s.-rte-50,u.s.-rte50"
64,US 51,"us 51,us-51,us51,u.s. 51,u.s.-51,u.s.51,us route 51,us route-51,us route51,u.s. route 51,u.s. route-51,u.s. route51,us rte 51,us rte-51,us rte51,u.s. rte 51,u.s. rte-51,u.s. rte51,us-route 51,us-route-51,us-route51,u.s.-route 51,u.s.-route-51,u.s.-route51,us-rte 51,us-rte-51,us-rte51,u.s.-rte 51,u.s.-rte-51,u.s.-rte51"
65,US 52,"us 52,us-52,us52,u.s. 52,u.s.-52,u.s.52,us route 52,us route-52,us route52,u.s. route 52,u.s. route-52,u.s. route52,us rte 52,us rte-52,us rte52,u.s. rte 52,u.s. rte-52,u.s. rte52,us-route 52,us-route-52,us-route52,u.s.-route 52,u.s.-route-52,u.s.-route52,us-rte 52,us-rte-52,us-rte52,u.s.-rte 52,u.s.-rte-52,u.s.-rte52"
66,US 53,"us 53,us-53,us53,u.s. 53,u.s.-53,u.s.53,us route 53,us route-53,us route53,u.s. route 53,u.s. route-53,u.s. route53,us rte 53,us rte-53,us rte53,u.s. rte 53,u.s. rte-53,u.s. rte53,us-route 53,us-route-53,us-route53,u.s.-route 53,u.s.-route-53,u.s.-route53,us-rte 53,us-rte-53,us-rte53,u.s.-rte 53,u.s.-rte-53,u.s.-rte53"
67,US 54,"us 54,us-54,us54,u.s. 54,u.s.-54,u.s.54,us route 54,us route-54,us route54,u.s. route 54,u.s. route-54,u.s. route54,us rte 54,us rte-54,us rte54,u.s. rte 54,u.s. rte-54,u.s. rte54,us-route 54,us-route-54,us-route54,u.s.-route 54,u.s.-route-54,u.s.-route54,us-rte 54,us-rte-54,us-rte54,u.s.-rte 54,u.s.-rte-54,u.s.-rte54"
68,US 56,"us 56,us-56,us56,u.s. 56,u.s.-56,u.s.56,us route 56,us route-56,us route56,u.s. route 56,u.s. route-56,u.s. route56,us rte 56,us rte-56,us rte56,u.s. rte 56,u.s. rte-56,u.s. rte56,us-route 56,us-route-56,us-route56,u.s.-route 56,u.s.-route-56,u.s.-route56,us-rte 56,us-rte-56,us-rte56,u.s.-rte 56,u.s.-rte-56,u.s.-rte56"
69,US 57,"us 57,us-57,us57,u.s. 57,u.s.-57,u.s.57,us route 57,us route-57,us route57,u.s. route 57,u.s. route-57,u.s. route57,us rte 57,us rte-57,us rte57,u.s. rte 57,u.s. rte-57,u.s. rte57,us-route 57,us-route-57,us-route57,u.s.-route 57,u.s.-route-57,u.s.-route57,us-rte 57,us-rte-57,us-rte57,u.s.-rte 57,u.s.-rte-57,u.s.-rte57"
70,US 58,"us 58,us-58,us58,u.s. 58,u.s.-58,u.s.58,us route 58,us route-58,us route58,u.s. route 58,u.s. route-58,u.s. route58,us rte 58,us rte-58,us rte58,u.s. rte 58,u.s. rte-58,u.s. rte58,us-route 58,us-route-58,us-route58,u.s.-route 58,u.s.-route-58,u.s.-route58,us-rte 58,us-rte-58,us-rte58,u.s.-rte 58,u.s.-rte-58,u.s.-rte58"
71,US 59,"us 59,us-59,us59,u.s. 59,u.s.-59,u.s.59,us route 59,us route-59,us route59,u.s. route 59,u.s. route-59,u.s. route59,us rte 59,us rte-59,us rte59,u.s. rte 59,u.s. rte-59,u.s. rte59,us-route 59,us-route-59,us-route59,u.s.-route 59,u.s.-route-59,u.s.-route59,us-rte 59,us-rte-59,us-rte59,u.s.-rte 59,u.s.-rte-59,u.s.-rte59"
72,US 60,"us 60,us-60,us60,u.s. 60,u.s.-60,u.s.60,us route 60,us route-60,us route60,u.s. route 60,u.s. route-60,u.s. route60,us rte 60,us rte-60,us rte60,u.s. rte 60,u.s. rte-60,u.s. rte60,us-route 60,us-route-60,us-route60,u.s.-route 60,u.s.-route-60,u.s.-route60,us-rte 60,us-rte-60,us-rte60,u.s.-rte 60,u.s.-rte-60,u.s.-rte60"
73,US 61,"us 61,us-61,us61,u.s. 61,u.s.-61,u.s.61,us route 61,us route-61,us route61,u.s. route 61,u.s. route-61,u.s. route61,us rte 61,us rte-61,us rte61,u.s. rte 61,u.s. rte-61,u.s. rte61,us-route 61,us-route-61,us-route61,u.s.-route 61,u.s.-route-61,u.s.-route61,us-rte 61,us-rte-61,us-rte61,u.s.-rte 61,u.s.-rte-61,u.s.-rte61"
74,US 62,"us 62,us-62,us62,u.s. 62,u.s.-62,u.s.62,us route 62,us route-62,us route62,u.s. route 62,u.s. route-62,u.s. route62,us rte 62,us rte-62,us rte62,u.s. rte 62,u.s. rte-62,u.s. rte62,us-route 62,us-route-62,us-route62,u.s.-route 62,u.s.-route-62,u.s.-route62,us-rte 62,us-rte-62,us-rte62,u.s.-rte 62,u.s.-rte-62,u.s.-rte62"
75,US 63,"us 63,us-63,us63,u.s. 63,u.s.-63,u.s.63,us route 63,us route-63,us route63,u.s. route 63,u.s. route-63,u.s. route63,us rte 63,us rte-63,us rte63,u.s. rte 63,u.s. rte-63,u.s. rte63,us-route 63,us-route-63,us-route63,u.s.-route 63,u.s.-route-63,u.s.-route63,us-rte 63,us-rte-63,us-rte63,u.s.-rte 63,u.s.-rte-63,u.s.-rte63"
76,US 64,"us 64,us-64,us64,u.s. 64,u.s.-64,u.s.64,us route 64,us route-64,us route64,u.s. route 64,u.s. route-64,u.s. route64,us rte 64,us rte-64,us rte64,u.s. rte 64,u.s. rte-64,u.s. rte64,us-route 64,us-route-64,us-route64,u.s.-route 64,u.s.-route-64,u.s.-route64,us-rte 64,us-rte-64,us-rte64,u.s.-rte 64,u.s.-rte-64,u.s.-rte64"
77,US 65,"us 65,us-65,us65,u.s. 65,u.s.-65,u.s.65,us route 65,us route-65,us route65,u.s. route 65,u.s. route-65,u.s. route65,us rte 65,us rte-65,us rte65,u.s. rte 65,u.s. rte-65,u.s. rte65,us-route 65,us-route-65,us-route65,u.s.-route 65,u.s.-route-65,u.s.-route65,us-rte 65,us-rte-65,us-rte65,u.s.-rte 65,u.s.-rte-65,u.s.-rte65"
78,US 67,"us 67,us-67,us67,u.s. 67,u.s.-67,u.s.67,us route 67,us route-67,us route67,u.s. route 67,u.s. route-67,u.s. route67,us rte 67,us rte-67,us rte67,u.s. rte 67,u.s. rte-67,u.s. rte67,us-route 67,us-route-67,us-route67,u.s.-route 67,u.s.-route-67,u.s.-route67,us-rte 67,us-rte-67,us-rte67,u.s.-rte 67,u.s.-rte-67,u.s.-rte67"
79,US 68,"us 68,us-68,us68,u.s. 68,u.s.-68,u.s.68,us route 68,us route-68,us route68,u.s. route 68,u.s. route-68,u.s. route68,us rte 68,us rte-68,us rte68,u.s. rte 68,u.s. rte-68,u.s. rte68,us-route 68,us-route-68,us-route68,u.s.-route 68,u.s.-route-68,u.s.-route68,us-rte 68,us-rte-68,us-rte68,u.s.-rte 68,u.s.-rte-68,u.s.-rte68"
80,US 69,"us 69,us-69,us69,u.s. 69,u.s.-69,u.s.69,us route 69,us route-69,us route69,u.s. route 69,u.s. route-69,u.s. route69,us rte 69,us rte-69,us rte69,u.s. rte 69,u.s. rte-69,u.s. rte69,us-route 69,us-route-69,us-route69,u.s.-route 69,u.s.-route-69,u.s.-route69,us-rte 69,us-rte-69,us-rte69,u.s.-rte 69,u.s.-rte-69,u.s.-rte69"
