,road,abbrevs
76,US 50,"us 50,us-50,us50,u.s. 50,u.s.-50,u.s.50,us route 50,us route-50,us route50,u.s. route 50,u.s. route-50,u.s. route50,us rte 50,us rte-50,us rte50,u.s. rte 50,u.s. rte-50,u.s. rte50,us-route 50,us-route-50,us-route50,u.s.-route 50,u.s.-route-50,u.s.-route50,us-rte 50,us-rte-50,us-rte50,u.s.-rte 50,u.s.-rte-50,u.s.-rte50"
77,US 51,"us 51,us-51,us51,u.s. 51,u.s.-51,u.s.51,us route 51,us route-51,us route51,u.s. route 51,u.s. route-51,u.s. route51,us rte 51,us rte-51,us rte51,u.s. rte 51,u.s. rte-51,u.s. rte51,us-route 51,us-route-51,us-route51,u.s.-route 51,u.s.-route-51,u.s.-route51,us-rte 51,us-rte-51,us-rte51,u.s.-rte 51,u.s.-rte-51,u.s.-rte51"
78,US 52,"us 52,us-52,us52,u.s. 52,u.s.-52,u.s.52,us route 52,us route-52,us route52,u.s. route 52,u.s. route-52,u.s. route52,us rte 52,us rte-52,us rte52,u.s. rte 52,u.s. rte-52,u.s. rte52,us-route 52,us-route-52,us-route52,u.s.-route 52,u.s.-route-52,u.s.-route52,us-rte 52,us-rte-52,us-rte52,u.s.-rte 52,u.s.-rte-52,u.s.-rte52"
79,US 53,"us 53,us-53,us53,u.s. 53,u.s.-53,u.s.53,us route 53,us route-53,us route53,u.s. route 53,u.s. route-53,u.s. route53,us rte 53,us rte-53,us rte53,u.s. rte 53,u.s. rte-53,u.s. rte53,us-route 53,us-route-53,us-route53,u.s.-route 53,u.s.-route-53,u.s.-route53,us-rte 53,us-rte-53,us-rte53,u.s.-rte 53,u.s.-rte-53,u.s.-rte53"
80,US 54,"us 54,us-54,us54,u.s. 54,u.s.-54,u.s.54,us route 54,us route-54,us route54,u.s. route 54,u.s. route-54,u.s. route54,us rte 54,us rte-54,us rte54,u.s. rte 54,u.s. rte-54,u.s. rte54,us-route 54,us-route-54,us-route54,u.s.-route 54,u.s.-route-54,u.s.-route54,us-rte 54,us-rte-54,us-rte54,u.s.-rte 54,u.s.-rte-54,u.s.-rte54"
81,US 56,"us 56,us-56,us56,u.s. 56,u.s.-56,u.s.56,us route 56,us route-56,us route56,u.s. route 56,u.s. route-56,u.s. route56,us rte 56,us rte-56,us rte56,u.s. rte 56,u.s. rte-56,u.s. rte56,us-route 56,us-route-56,us-route56,u.s.-route 56,u.s.-route-56,u.s.-route56,us-rte 56,us-rte-56,us-rte56,u.s.-rte 56,u.s.-rte-56,u.s.-rte56"
82,US 57,"us 57,us-57,us57,u.s. 57,u.s.-57,u.s.57,us route 57,us route-57,us route57,u.s. route 57,u.s. route-57,u.s. route57,us rte 57,us rte-57,us rte57,u.s. rte 57,u.s. rte-57,u.s. rte57,us-route 57,us-route-57,us-route57,u.s.-route 57,u.s.-route-57,u.s.-route57,us-rte 57,us-rte-57,us-rte57,u.s.-rte 57,u.s.-rte-57,u.s.-rte57"
83,US 58,"us 58,us-58,us58,u.s. 58,u.s.-58,u.s.58,us route 58,us route-58,us route58,u.s. route 58,u.s. route-58,u.s. route58,us rte 58,us rte-58,us rte58,u.s. rte 58,u.s. rte-58,u.s. rte58,us-route 58,us-route-58,us-route58,u.s.-route 58,u.s.-route-58,u.s.-route58,us-rte 58,us-rte-58,us-rte58,u.s.-rte 58,u.s.-rte-58,u.s.-rte58"
84,US 59,"us 59,us-59,us59,u.s. 59,u.s.-59,u.s.59,us route 59,us route-59,us route59,u.s. route 59,u.s. route-59,u.s. route59,us rte 59,us rte-59,us rte59,u.s. rte 59,u.s. rte-59,u.s. rte59,us-route 59,us-route-59,us-route59,u.s.-route 59,u.s.-route-59,u.s.-route59,us-rte 59,us-rte-59,us-rte59,u.s.-rte 59,u.s.-rte-59,u.s.-rte59"
85,US 60,"us 60,us-60,us60,u.s. 60,u.s.-60,u.s.60,us route 60,us route-60,us route60,u.s. route 60,u.s. route-60,u.s. route60,us rte 60,us rte-60,us rte60,u.s. rte 60,u.s. rte-60,u.s. rte60,us-route 60,us-route-60,us-route60,u.s.-route 60,u.s.-route-60,u.s.-route60,us-rte 60,us-rte-60,us-rte60,u.s.-rte 60,u.s.-rte-60,u.s.-rte60"
