,road,abbrevs
76,US 53,"us 53,us-53,us53,u.s. 53,u.s.-53,u.s.53,us route 53,us route-53,us route53,u.s. route 53,u.s. route-53,u.s. route53,us rte 53,us rte-53,us rte53,u.s. rte 53,u.s. rte-53,u.s. rte53,us-route 53,us-route-53,us-route53,u.s.-route 53,u.s.-route-53,u.s.-route53,us-rte 53,us-rte-53,us-rte53,u.s.-rte 53,u.s.-rte-53,u.s.-rte53"
77,US 54,"us 54,us-54,us54,u.s. 54,u.s.-54,u.s.54,us route 54,us route-54,us route54,u.s. route 54,u.s. route-54,u.s. route54,us rte 54,us rte-54,us rte54,u.s. rte 54,u.s. rte-54,u.s. rte54,us-route 54,us-route-54,us-route54,u.s.-route 54,u.s.-route-54,u.s.-route54,us-rte 54,us-rte-54,us-rte54,u.s.-rte 54,u.s.-rte-54,u.s.-rte54"
78,US 56,"us 56,us-56,us56,u.s. 56,u.s.-56,u.s.56,us route 56,us route-56,us route56,u.s. route 56,u.s. route-56,u.s. route56,us rte 56,us rte-56,us rte56,u.s. rte 56,u.s. rte-56,u.s. rte56,us-route 56,us-route-56,us-route56,u.s.-route 56,u.s.-route-56,u.s.-route56,us-rte 56,us-rte-56,us-rte56,u.s.-rte 56,u.s.-rte-56,u.s.-rte56"
79,US 57,"us 57,us-57,us57,u.s. 57,u.s.-57,u.s.57,us route 57,us route-57,us route57,u.s. route 57,u.s. route-57,u.s. route57,us rte 57,us rte-57,us rte57,u.s. rte 57,u.s. rte-57,u.s. rte57,us-route 57,us-route-57,us-route57,u.s.-route 57,u.s.-route-57,u.s.-route57,us-rte 57,us-rte-57,us-rte57,u.s.-rte 57,u.s.-rte-57,u.s.-rte57"
80,US 58,"us 58,us-58,us58,u.s. 58,u.s.-58,u.s.58,us route 58,us route-58,us route58,u.s. route 58,u.s. route-58,u.s. route58,us rte 58,us rte-58,us rte58,u.s. rte 58,u.s. rte-58,u.s. rte58,us-route 58,us-route-58,us-route58,u.s.-route 58,u.s.-route-58,u.s.-route58,us-rte 58,us-rte-58,us-rte58,u.s.-rte 58,u.s.-rte-58,u.s.-rte58"
81,US 59,"us 59,us-59,us59,u.s. 59,u.s.-59,u.s.59,us route 59,us route-59,us route59,u.s. route 59,u.s. route-59,u.s. route59,us rte 59,us rte-59,us rte59,u.s. rte 59,u.s. rte-59,u.s. rte59,us-route 59,us-route-59,us-route59,u.s.-route 59,u.s.-route-59,u.s.-route59,us-rte 59,us-rte-59,us-rte59,u.s.-rte 59,u.s.-rte-59,u.s.-rte59"
82,US 60,"us 60,us-60,us60,u.s. 60,u.s.-60,u.s.60,us route 60,us route-60,us route60,u.s. route 60,u.s. route-60,u.s. route60,us rte 60,us rte-60,us rte60,u.s. rte 60,u.s. rte-60,u.s. rte60,us-route 60,us-route-60,us-route60,u.s.-route 60,u.s.-route-60,u.s.-route60,us-rte 60,us-rte-60,us-rte60,u.s.-rte 60,u.s.-rte-60,u.s.-rte60"
83,US 61,"us 61,us-61,us61,u.s. 61,u.s.-61,u.s.61,us route 61,us route-61,us route61,u.s. route 61,u.s. route-61,u.s. route61,us rte 61,us rte-61,us rte61,u.s. rte 61,u.s. rte-61,u.s. rte61,us-route 61,us-route-61,us-route61,u.s.-route 61,u.s.-route-61,u.s.-route61,us-rte 61,us-rte-61,us-rte61,u.s.-rte 61,u.s.-rte-61,u.s.-rte61"
84,US 62,"us 62,us-62,us62,u.s. 62,u.s.-62,u.s.62,us route 62,us route-62,us route62,u.s. route 62,u.s. route-62,u.s. route62,us rte 62,us rte-62,us rte62,u.s. rte 62,u.s. rte-62,u.s. rte62,us-route 62,us-route-62,us-route62,u.s.-route 62,u.s.-route-62,u.s.-route62,us-rte 62,us-rte-62,us-rte62,u.s.-rte 62,u.s.-rte-62,u.s.-rte62"
85,US 63,"us 63,us-63,us63,u.s. 63,u.s.-63,u.s.63,us route 63,us route-63,us route63,u.s. route 63,u.s. route-63,u.s. route63,us rte 63,us rte-63,us rte63,u.s. rte 63,u.s. rte-63,u.s. rte63,us-route 63,us-route-63,us-route63,u.s.-route 63,u.s.-route-63,u.s.-route63,us-rte 63,us-rte-63,us-rte63,u.s.-rte 63,u.s.-rte-63,u.s.-rte63"
