,Other_Road_List
431,"le fort,accident le fort,left lane,accident left lane,redwood road,at redwood road"
432,"right- lane,fayette ville,on fayette ville,fayetteville road,on fayetteville road,dortch street,& dortch street,the highway,near the highway,h way,the h way"
433,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
434,"ramp bridge,b ridge,ramp b ridge,c lock,the c lock,on highway,#durham on highway,h way,on h way,miami boulevard,at miami boulevard"
435,"around-the-c lock,blocked around-the-c lock,green way,long-term green way,chapel hill,old chapel hill,hl road,chapel hl road"
436,"on highway,#johnstoncounty on highway,h way,on h way,and highway,eb and highway,h way,and h way"
437,"on- ramp,95 on- ramp,bagley road,and bagley road"
438,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
439,"around-the-c lock,closed around-the-c lock,alt: highway,construction: alt: highway,h way,alt: h way,cornwall island,on cornwall island,cornwallis road,on cornwallis road,between highway,ebwb between highway,h way,between h way,erwin road,and erwin road"
440,"durham-chapel hill,alt: durham-chapel hill,hill boulevard,durham-chapel hill boulevard,chapel hill,old chapel hill,hl road,chapel hl road,farrington road,between farrington road,garrett road,and garrett road"
441,"coley road,alt: coley road,olive branch,on olive branch,b ranch,olive b ranch,branch road,olive branch road,carpen terrace,between carpen terrace,pond road,carpenter pond road,and highway,rd and highway,h way,and h way"
442,"goodwin road,alt: goodwin road,infinity road,on infinity road,@high meadows,rd @high meadows,meadows road,@high meadows road,roxoboro street,between roxoboro street,snow hill,and snow hill,hl road,snow hl road"
443,None
444,None
445,"alt: highway,flooding: alt: highway,h way,alt: h way,stagecoach road,on stagecoach road,hope valley,between hope valley,vly road,hope vly road,farrington road,and farrington road"
446,"on highway,#eastraleigh on highway,h way,on h way,rig heights,the rig heights"
447,"oine road,between oine road,the road,blocking the road"
448,"alt: highway,flooding: alt: highway,h way,alt: h way,stagecoach road,on stagecoach road,hope valley,between hope valley,vly road,hope vly road,farrington road,and farrington road"
449,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
450,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
451,"ramp bridge,b ridge,ramp b ridge,c lock,the c lock,on highway,#durham on highway,h way,on h way,miami boulevard,at miami boulevard"
452,"around-the-c lock,blocked around-the-c lock,green way,long-term green way,chapel hill,old chapel hill,hl road,chapel hl road"
453,"on highway,#johnstoncounty on highway,h way,on h way,and highway,eb and highway,h way,and h way"
454,"on- ramp,95 on- ramp,bagley road,and bagley road"
455,None
456,None
457,"around-the-c lock,blocked around-the-c lock,green way,long-term green way,chapel hill,old chapel hill,hl road,chapel hl road"
458,"around-the-c lock,closed around-the-c lock,alt: highway,construction: alt: highway,h way,alt: h way,cornwall island,on cornwall island,cornwallis road,on cornwallis road,between highway,ebwb between highway,h way,between h way,erwin road,and erwin road"
459,"alt: highway,flooding: alt: highway,h way,alt: h way,stagecoach road,on stagecoach road,hope valley,between hope valley,vly road,hope vly road,farrington road,and farrington road"
460,"durham-chapel hill,alt: durham-chapel hill,hill boulevard,durham-chapel hill boulevard,chapel hill,old chapel hill,hl road,chapel hl road,farrington road,between farrington road,garrett road,and garrett road"
461,"goodwin road,alt: goodwin road,infinity road,on infinity road,@high meadows,rd @high meadows,meadows road,@high meadows road,roxoboro street,between roxoboro street,snow hill,and snow hill,hl road,snow hl road"
462,"le fort,accident: le fort,left lane,accident: left lane,exit ramp,of exit ramp,saunders street,at saunders street"
463,"rig heights,accident rig heights,right lane,accident right lane,harrison avenue,at harrison avenue"
464,"coley road,alt: coley road,olive branch,on olive branch,b ranch,olive b ranch,branch road,olive branch road,carpen terrace,between carpen terrace,pond road,carpenter pond road,and highway,rd and highway,h way,and h way"
465,"goodwin road,alt: goodwin road,infinity road,on infinity road,@high meadows,rd @high meadows,meadows road,@high meadows road,roxoboro street,between roxoboro street,snow hill,and snow hill,hl road,snow hl road"
466,None
467,None
468,"alt: highway,flooding: alt: highway,h way,alt: h way,stagecoach road,on stagecoach road,hope valley,between hope valley,vly road,hope vly road,farrington road,and farrington road"
469,None
470,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
471,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
472,"ramp bridge,b ridge,ramp b ridge,c lock,the c lock,on highway,#durham on highway,h way,on h way,miami boulevard,at miami boulevard"
473,"around-the-c lock,blocked around-the-c lock,green way,long-term green way,chapel hill,old chapel hill,hl road,chapel hl road"
474,"on highway,#johnstoncounty on highway,h way,on h way,and highway,eb and highway,h way,and h way"
475,"on- ramp,95 on- ramp,bagley road,and bagley road"
476,"glendon road,cty glendon road,w estate,nbsb w estate,we street,nbsb we street,of highway,west of highway,h way,of h way"
477,"durham-chapel hill,alt: durham-chapel hill,hill boulevard,durham-chapel hill boulevard,chapel hill,old chapel hill,hl road,chapel hl road,farrington road,between farrington road,garrett road,and garrett road"
478,"alt: highway,flooding: alt: highway,h way,alt: h way,on highway,#chathamcounty on highway,h way,on h way,old highway,the old highway,h way,old h way,and highway,nbsb and highway,h way,and h way"
479,"around-the-c lock,closed around-the-c lock,alt: highway,construction: alt: highway,h way,alt: h way,cornwall island,on cornwall island,cornwallis road,on cornwallis road,between highway,ebwb between highway,h way,between h way,erwin road,and erwin road"
480,"parker road,alt: parker road,on highway,#southjohnstoncounty on highway,h way,on h way,wellons road,between wellons road,raleigh road,and raleigh road"
481,"coley road,alt: coley road,olive branch,on olive branch,b ranch,olive b ranch,branch road,olive branch road,carpen terrace,between carpen terrace,pond road,carpenter pond road,and highway,rd and highway,h way,and h way"
482,"on highway,#chathamcounty:westofpittsboro on highway,h way,on h way,goldston road,pittsboro goldston road,cockman road,alex cockman road"
483,"goodwin road,alt: goodwin road,infinity road,on infinity road,@high meadows,rd @high meadows,meadows road,@high meadows road,roxoboro street,between roxoboro street,snow hill,and snow hill,hl road,snow hl road"
484,None
485,"greensboro road,old greensboro road,jones ferry,on jones ferry,ferry road,jones ferry road,bowden road,between bowden road,greensboro road,old greensboro road"
486,"wade avenue,between wade avenue,capital boulevard,and capital boulevard"
487,None
488,None
489,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
490,"ramp bridge,b ridge,ramp b ridge,c lock,the c lock,on highway,#durham on highway,h way,on h way,miami boulevard,at miami boulevard"
491,"around-the-c lock,blocked around-the-c lock,green way,long-term green way,chapel hill,old chapel hill,hl road,chapel hl road"
492,"on highway,#johnstoncounty on highway,h way,on h way,and highway,eb and highway,h way,and h way"
493,"on- ramp,95 on- ramp,bagley road,and bagley road"
494,"glendon road,cty glendon road,w estate,nbsb w estate,we street,nbsb we street,of highway,west of highway,h way,of h way"
495,"coley road,alt: coley road,olive branch,on olive branch,b ranch,olive b ranch,branch road,olive branch road,carpen terrace,between carpen terrace,pond road,carpenter pond road,and highway,rd and highway,h way,and h way"
496,"durham-chapel hill,alt: durham-chapel hill,hill boulevard,durham-chapel hill boulevard,chapel hill,old chapel hill,hl road,chapel hl road,farrington road,between farrington road,garrett road,and garrett road"
497,None
498,"rig heights,accident rig heights,right lane,accident right lane,#morris ville,in #morris ville,hopson road,on hopson road,toll road,147 toll road"
499,"alt: highway,flooding: alt: highway,h way,alt: h way,on highway,#chathamcounty on highway,h way,on h way,old highway,the old highway,h way,old h way,and highway,nbsb and highway,h way,and h way"
500,"on highway,#pittsboro on highway,h way,on h way,between highway,nbsb between highway,h way,between h way,and highway,business and highway,h way,and h way,64 bypass,hwy 64 bypass"
501,None
502,"goodwin road,alt: goodwin road,infinity road,on infinity road,@high meadows,rd @high meadows,meadows road,@high meadows road,roxoboro street,between roxoboro street,snow hill,and snow hill,hl road,snow hl road"
503,"parker road,alt: parker road,on highway,#southjohnstoncounty on highway,h way,on h way,wellons road,between wellons road,raleigh road,and raleigh road"
504,"coley road,alt: coley road,olive branch,on olive branch,b ranch,olive b ranch,branch road,olive branch road,carpen terrace,between carpen terrace,pond road,carpenter pond road,and highway,rd and highway,h way,and h way"
505,"on highway,#chathamcounty:westofpittsboro on highway,h way,on h way,goldston road,pittsboro goldston road,cockman road,alex cockman road"
506,"on highway,#chathamcounty on highway,h way,on h way,old highway,the old highway,h way,old h way,and highway,nbsb and highway,h way,and h way"
507,"on highway,#pittsboro on highway,h way,on h way,between highway,nbsb between highway,h way,between h way,and highway,business and highway,h way,and h way,64 bypass,hwy 64 bypass"
508,"jones ferry,on jones ferry,ferry road,jones ferry road,greensboro road,old greensboro road,norwood road,lamont norwood road"
509,"greensboro road,old greensboro road,jones ferry,on jones ferry,ferry road,jones ferry road,bowden road,between bowden road,greensboro road,old greensboro road"
510,"russell road,alt: russell road,guess road,on guess road,cardens creek,between cardens creek,crk drive,cardens crk drive,marys road,saint marys road"
511,"around-the-c lock,closed around-the-c lock,alt: highway,construction: alt: highway,h way,alt: h way,cornwall island,on cornwall island,cornwallis road,on cornwallis road,between highway,ebwb between highway,h way,between h way,erwin road,and erwin road"
512,"snow hill,on snow hill,hl road,snow hl road,@torredge road,rd @torredge road"
513,"goodwin road,alt: goodwin road,infinity road,on infinity road,@high meadows,rd @high meadows,meadows road,@high meadows road,roxoboro street,between roxoboro street,snow hill,and snow hill,hl road,snow hl road"
514,"glendon road,cty glendon road,w estate,nbsb w estate,we street,nbsb we street,of highway,west of highway,h way,of h way"
515,"on highway,#durham on highway,h way,on h way,hope valley,between hope valley,vly road,hope vly road"
516,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
517,"woods crossroads,alt: woods crossroads,cross roads,woods cross roads,crossroads road,woods crossroads road,on highway,#southjohnstoncounty on highway,h way,on h way,between highway,nbsb between highway,h way,between h way"
518,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
519,"ramp bridge,b ridge,ramp b ridge,c lock,the c lock,on highway,#durham on highway,h way,on h way,miami boulevard,at miami boulevard"
520,"around-the-c lock,blocked around-the-c lock,green way,long-term green way,chapel hill,old chapel hill,hl road,chapel hl road"
521,"on highway,#johnstoncounty on highway,h way,on h way,and highway,eb and highway,h way,and h way"
522,"on- ramp,95 on- ramp,bagley road,and bagley road"
523,"durham-chapel hill,alt: durham-chapel hill,hill boulevard,durham-chapel hill boulevard,chapel hill,old chapel hill,hl road,chapel hl road,farrington road,between farrington road,garrett road,and garrett road"
524,"chapel road,hodges chapel road,chicopee road,between chicopee road,and highway,rd and highway,h way,and h way"
525,"glendon road,cty glendon road,w estate,nbsb w estate,we street,nbsb we street,of highway,west of highway,h way,of h way"
526,"rogers road,alt: rogers road,old highway,on old highway,h way,old h way,eubanks road,between eubanks road,homestead road,and homestead road"
527,None
528,"alt: highway,flooding: alt: highway,h way,alt: h way,godwin lake,between godwin lake,lk road,godwin lk road,bear road,and bear road"
529,"corbett hill,between corbett hill,hl road,corbett hl road"
530,"air port,between air port,airport road,between airport road,mccaskill road,and mccaskill road"
531,"buckingham road,its buckingham road"
532,"woods crossroads,alt: woods crossroads,cross roads,woods cross roads,crossroads road,woods crossroads road,on highway,#southjohnstoncounty on highway,h way,on h way,between highway,nbsb between highway,h way,between h way"
533,None
534,"snow hill,on snow hill,hl road,snow hl road,@torredge road,rd @torredge road"
535,"elliott road,alt: elliott road,#chapel hill,in #chapel hill,estes drive,on estes drive,franklin street,between franklin street,fordham boulevard,and fordham boulevard"
536,"richardson road,closure: richardson road,curling creek,near curling creek,creek road,curling creek road"
537,"goodwin road,alt: goodwin road,infinity road,on infinity road,@high meadows,rd @high meadows,meadows road,@high meadows road,roxoboro street,between roxoboro street,snow hill,and snow hill,hl road,snow hl road"
538,"hadrian drive,btwn hadrian drive,fie station,& fie station,fiesta road,& fiesta road,mineral springs,on mineral springs,springs road,mineral springs road"
539,"university drive,alt: university drive,on highway,#durham on highway,h way,on h way,garrett road,between garrett road,chapel hill,durham chapel hill,hl boulevard,chapel hl boulevard"
540,"on highway,#durham on highway,h way,on h way,hope valley,between hope valley,vly road,hope vly road"
541,"alt: highway,road: alt: highway,h way,alt: h way,on highway,#johnstoncounty on highway,h way,on h way,earpsboro road,between earpsboro road,and highway,nbsb and highway,h way,and h way"
542,"corbett hill,between corbett hill,hl road,corbett hl road"
543,"rogers road,alt: rogers road,old highway,on old highway,h way,old h way,eubanks road,between eubanks road,homestead road,and homestead road"
544,"on highway,#durham on highway,h way,on h way,garrett road,between garrett road,chapel hill,durham chapel hill,hl boulevard,chapel hl boulevard"
545,"mineral springs,on mineral springs,springs road,mineral springs road,freeman road,between freeman road,stallings road,and stallings road"
546,"morris ville,alt: morris ville,morrisville parkway,alt: morrisville parkway,pk way,morrisville pk way,on green,#cary on green,w road,level w road,church road,oak church road,and green,rd and green,church road,level church road"
547,"sprague road,alt sprague road,exit ramp,85 exit ramp,cole mill,on cole mill,mill road,cole mill road,hillsborough road,between hillsborough road"
548,"clayton road,alt: clayton road,mineral springs,on mineral springs,springs road,mineral springs road,between highway,nbsb between highway,h way,between h way,freeman road,and freeman road"
549,None
550,"chapel road,hodges chapel road,chicopee road,between chicopee road,and highway,rd and highway,h way,and h way"
551,"glendon road,cty glendon road,w estate,nbsb w estate,we street,nbsb we street,of highway,west of highway,h way,of h way"
552,"pope road,alt: pope road,farrington road,on farrington road,church road,ephesus church road,chapel hill,old chapel hill,hl road,chapel hl road"
553,"durham-chapel hill,alt: durham-chapel hill,hill boulevard,durham-chapel hill boulevard,chapel hill,old chapel hill,hl road,chapel hl road,farrington road,between farrington road,garrett road,and garrett road"
554,"morris ville,alt: morris ville,morrisville parkway,alt: morrisville parkway,pk way,morrisville pk way,on green,#cary on green,w road,level w road,church road,oak church road,and green,rd and green,church road,level church road"
555,"sprague road,alt sprague road,cole mill,on cole mill,mill road,cole mill road,hillsborough road,between hillsborough road"
556,"alston avenue,alt: alston avenue,fayette ville,on fayette ville,fayetteville street,on fayetteville street,@pilot street,st @pilot street,burlington avenue,between burlington avenue,cornwall island,and cornwall island,cornwallis road,and cornwallis road"
557,"atlantic avenue,to atlantic avenue,capital boulevard,on capital boulevard,for estate,wake for estate,wake forest,near wake forest,fo rest,wake fo rest,fore street,wake fore street,forest road,wake forest road"
558,"rogers road,alt: rogers road,old highway,on old highway,h way,old h way,eubanks road,between eubanks road,homestead road,and homestead road"
559,"glenwood avenue,on glenwood avenue,mine road,lead mine road"
560,"b road,alt: b road,broad street,alt: broad street,hillan dale,on hillan dale,hillandale road,on hillandale road,sprunt avenue,& sprunt avenue,between club,ave between club,club boulevard,between club boulevard"
561,"atlantic avenue,to atlantic avenue,capital boulevard,on capital boulevard,for estate,wake for estate,wake forest,near wake forest,fo rest,wake fo rest,fore street,wake fore street,forest road,wake forest road"
562,"right- lane,on highway,#apexarea:westwakecounty on highway,h way,on h way,williams street,at williams street"
563,"thompson road,alt: thompson road,on highway,#fouroaks on highway,h way,on h way,thompson road,between thompson road,blackmon road,and blackmon road"
564,"woods crossroads,alt: woods crossroads,cross roads,woods cross roads,crossroads road,woods crossroads road,on highway,#southjohnstoncounty on highway,h way,on h way,between highway,nbsb between highway,h way,between h way"
565,"woods crossroads,alt: woods crossroads,cross roads,woods cross roads,crossroads road,woods crossroads road,on highway,#southjohnstoncounty on highway,h way,on h way,between highway,nbsb between highway,h way,between h way"
566,"alt: highway,flooding: alt: highway,h way,alt: h way,godwin lake,between godwin lake,lk road,godwin lk road,bear road,and bear road"
567,"coley road,alt: coley road,olive branch,on olive branch,b ranch,olive b ranch,branch road,olive branch road,nichols road,doc nichols road"
568,None
569,"corbett hill,between corbett hill,hl road,corbett hl road"
570,"mayna road,on mayna road,maynard road,on maynard road,chapel hill,between chapel hill,hl road,chapel hl road,house road,high house road"
571,"from highway,eb from highway,h way,from h way"
572,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
573,"on highway,#johnstoncounty on highway,h way,on h way,and highway,eb and highway,h way,and h way"
574,"ramp bridge,b ridge,ramp b ridge,c lock,the c lock,on highway,#durham on highway,h way,on h way,miami boulevard,at miami boulevard"
575,"around-the-c lock,blocked around-the-c lock,green way,long-term green way,chapel hill,old chapel hill,hl road,chapel hl road"
576,"on- ramp,95 on- ramp,bagley road,and bagley road"
577,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
578,"air port,between air port,airport road,between airport road,mccaskill road,and mccaskill road"
579,None
580,"chapel road,hodges chapel road,chicopee road,between chicopee road,and highway,rd and highway,h way,and h way"
581,"western boulevard,at western boulevard"
582,"between highway,nbsb between highway,h way,between h way,and highway,15 and highway,h way,and h way,70 bypass,hwy 70 bypass"
583,"glendon road,cty glendon road,w estate,nbsb w estate,we street,nbsb we street,of highway,west of highway,h way,of h way"
584,"chapel hill,on chapel hill,hl road,chapel hl road"
585,"mayna road,on mayna road,maynard road,on maynard road,chapel hill,between chapel hill,hl road,chapel hl road,house road,high house road"
586,None
587,"on highway,#clayton:johnstoncounty on highway,h way,on h way"
588,"tractor- trailer,jacknifed tractor- trailer,on highway,#clayton:johnstoncounty on highway,h way,on h way"
589,None
590,None
591,"answer island,you answer island"
592,"gov island,closed roads,no closed roads"
593,"on highway,#wakecounty on highway,h way,on h way,tryon road,and tryon road"
594,"left- lane,the left- lane,on highway,#wakecounty on highway,h way,on h way,tryon road,and tryon road"
595,"mo street,through mo street,roc key,from roc key,rocky mount,from rocky mount"
596,"chapel road,hodges chapel road,chicopee road,between chicopee road,and highway,rd and highway,h way,and h way"
597,None
598,None
599,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
600,"wade-stedman road,between wade-stedman road"
601,"af terrace,eb af terrace,after lake,eb after lake,wheeler road,lk wheeler road"
602,"parkertown road,near parkertown road"
603,"between highway,nbsb between highway,h way,between h way,and highway,15 and highway,h way,and h way,70 bypass,hwy 70 bypass"
604,"banks road,on banks road,brown road,fanny brown road"
605,"chapel hill,on chapel hill,hl road,chapel hl road"
606,"mayna road,on mayna road,maynard road,on maynard road,chapel hill,between chapel hill,hl road,chapel hl road,house road,high house road"
607,"rig heights,accident rig heights,right lane,accident right lane,#wakefor estate,in #wakefor estate,#wake forest,in #wake forest,#wakefo rest,in #wakefo rest,#wakefore street,in #wakefore street"
608,"rig heights,accident rig heights,right lane,accident right lane,#wakefor estate,in #wakefor estate,#wake forest,in #wake forest,#wakefo rest,in #wakefo rest,#wakefore street,in #wakefore street,capital boulevard,- capital boulevard"
609,"sausage road,jones sausage road,at highway,sb at highway,h way,at h way"
610,"oak road,white oak road,timber drive,between timber drive,and highway,dr and highway,h way,and h way"
611,"exit ramp,between highway,wb between highway,h way,between h way,and highway,274 and highway,h way,and h way"
612,"wade-stedman road,between wade-stedman road"
613,"long branch,between long branch,b ranch,long b ranch,branch road,long branch road,long branch,and long branch,b ranch,long b ranch,branch road,long branch road"
614,"long branch,at long branch,b ranch,long b ranch,branch road,long branch road"
615,"banks road,on banks road,brown road,fanny brown road"
616,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
617,"creedmoor road,old creedmoor road,creedmoor road,on creedmoor road,norwood road,and norwood road"
618,"creedmoor road,on creedmoor road,creedmoor road,old creedmoor road"
619,"capital boulevard,alt: capital boulevard,#wakefor estate,in #wakefor estate,#wake forest,in #wake forest,#wakefo rest,in #wakefo rest,#wakefore street,in #wakefore street,main street,on main street,ligon mill,between ligon mill,mill road,ligon mill road,capital boulevard,and capital boulevard"
620,"stephenson road,road: stephenson road,penny road,& penny road,pond road,graham pond road"
621,"chatham street,alt: chatham street,williams street,on williams street,hughes street,between hughes street,salem street,and salem street"
622,"alt: highway,road: alt: highway,h way,alt: h way,brogden road,on brogden road,chapel road,stevens chapel road"
623,"johnson road,lines: johnson road,meadow brook,& meadow brook,meadowbrook road,& meadowbrook road"
624,benson-hardee road
625,"chatham street,alt: chatham street,williams street,on williams street,hughes street,between hughes street,salem street,and salem street"
626,"raleigh boulevard,on raleigh boulevard,crabtree boulevard,between crabtree boulevard,yonkers road,and yonkers road"
627,"creedmoor road,old creedmoor road,creedmoor road,on creedmoor road,norwood road,and norwood road"
628,"williams street,e williams street,peak way,apex peak way,salem street,and salem street"
629,"road way,on road way,creedmoor road,on creedmoor road,creedmoor road,old creedmoor road,weaver trail,old weaver trail"
630,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
631,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
632,"near highway,eb near highway,h way,near h way"
633,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
634,"on highway,#wakecounty on highway,h way,on h way,smith field,between smith field,smithfield road,between smithfield road,b lock,wreck b lock"
635,"left- lane,the left- lane,on highway,#eastwakecounty on highway,h way,on h way"
636,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
637,"detour island,short detour island,wade avenue,on wade avenue,capital boulevard,at capital boulevard"
638,"on highway,#wakecounty on highway,h way,on h way,cary parkway,and cary parkway,pk way,cary pk way,left- lane,the left- lane"
639,"around-the-c lock,closed around-the-c lock,pettigrew street,on pettigrew street,briggs avenue,between briggs avenue,fayette ville,and fayette ville,fayetteville street,and fayetteville street"
640,"7:04pm expressway,9192018 7:04pm expressway"
641,"r heights,exit98 r heights,rht lane,exit98 rht lane"
642,"us378-con way,btwn us378-con way,sc544-con way,& sc544-con way,r heights,sc544-conway r heights,rht lane,sc544-conway rht lane"
643,"us378-con way,btwn us378-con way,sc544-con way,& sc544-con way,r heights,sc544-conway r heights,rht lane,sc544-conway rht lane"
644,"cox ferry,btwn cox ferry,rd-con way,ferry rd-con way,us378-con way,& us378-con way,l fort,us378-conway l fort,lft lane,us378-conway lft lane"
645,"r heights,exit135 r heights,rht lane,exit135 rht lane"
646,None
647,None
648,"r heights,exit170 r heights,rht lane,exit170 rht lane"
649,None
650,"l fort,exit181a l fort,lft lane,exit181a lft lane"
651,None
652,"l fort,sc905 l fort,lft lane,sc905 lft lane"
653,"l fort,exit170 l fort,lft lane,exit170 lft lane"
654,"l fort,exit170 l fort,lft lane,exit170 lft lane"
655,"us378-con way,at us378-con way,r heights,us378-conway r heights,rht lane,us378-conway rht lane"
656,"l fort,exit135 l fort,lft lane,exit135 lft lane"
657,"sc544-myrtle beach,at sc544-myrtle beach"
658,"at garden,nb: at garden,conn-indigo club,city conn-indigo club,club drive,conn-indigo club drive,r heights,dr r heights,rht lane,dr rht lane"
659,"at river,sb: at river,pkwy-myrtle beach,bishop pkwy-myrtle beach"
660,"us378-con way,at us378-con way,r heights,us378-conway r heights,rht lane,us378-conway rht lane"
661,"us378-con way,at us378-con way,r heights,us378-conway r heights,rht lane,us378-conway rht lane"
662,"us378-con way,at us378-con way,r heights,us378-conway r heights,rht lane,us378-conway rht lane"
663,"sc22-con way,at sc22-con way,bypass-veterans highway,sc22-conway bypass-veterans highway,h way,bypass-veterans h way"
664,"sc22-con way,at sc22-con way,bypass-veterans highway,sc22-conway bypass-veterans highway,h way,bypass-veterans h way,11:29pm expressway,ocrd: 11:29pm expressway"
665,"sc22-con way,at sc22-con way,bypass-veterans highway,sc22-conway bypass-veterans highway,h way,bypass-veterans h way"
666,"sc22-con way,at sc22-con way,bypass-veterans highway,sc22-conway bypass-veterans highway,h way,bypass-veterans h way,r heights,2 r heights"
667,"sc22-con way,btwn sc22-con way,bypass-veterans highway,sc22-conway bypass-veterans highway,h way,bypass-veterans h way,sc544-con way,& sc544-con way"
668,"11:38am expressway,from: 11:38am expressway"
669,None
670,"us378-con way,btwn us378-con way,waccamaw river,& waccamaw river,river bridge,waccamaw river bridge,b ridge,river b ridge,r heights,bridge r heights,rht lane,bridge rht lane"
671,"us378-con way,btwn us378-con way,waccamaw river,& waccamaw river,river bridge,waccamaw river bridge,b ridge,river b ridge"
672,"waccamaw river,btwn waccamaw river,river bridge,waccamaw river bridge,b ridge,river b ridge,us378-con way,& us378-con way,r heights,us378-conway r heights,rht lane,us378-conway rht lane"
673,"us701-con way,btwn us701-con way,waccamaw river,& waccamaw river,river bridge,waccamaw river bridge,b ridge,river b ridge"
674,"us701-con way,btwn us701-con way,waccamaw river,& waccamaw river,river bridge,waccamaw river bridge,b ridge,river b ridge,r heights,bridge r heights,rht lane,bridge rht lane"
675,"us701-con way,btwn us701-con way,waccamaw river,& waccamaw river,river bridge,waccamaw river bridge,b ridge,river b ridge,r heights,bridge r heights,rht lane,bridge rht lane"
676,"road way,on road way,5:47pm expressway,ocrd: 5:47pm expressway"
677,"road way,on road way"
678,"road way,on road way,4:58pm expressway,ocrd: 4:58pm expressway"
679,"road way,on road way,3:08pm expressway,ocrd: 3:08pm expressway"
680,"road way,on road way"
681,"road way,on road way"
682,"road way,on road way"
683,"road way,on road way,l fort,exit108 l fort,lft lane,exit108 lft lane"
684,"road way,on road way"
685,"road way,on road way,l fort,exit181a l fort,lft lane,exit181a lft lane"
686,"road way,on road way"
687,"road way,on road way,l fort,exit116 l fort,lft lane,exit116 lft lane"
688,"road way,on road way"
689,"road way,on road way,l fort,exit190 l fort,lft lane,exit190 lft lane"
690,"road way,on road way,us501-myrtle beach,at us501-myrtle beach,r heights,beach r heights,rht lane,beach rht lane,12:04am expressway,ocrd: 12:04am expressway"
691,"road way,on road way,us501-myrtle beach,at us501-myrtle beach,r heights,beach r heights,rht lane,beach rht lane"
692,"road way,on road way,us501-myrtle beach,at us501-myrtle beach"
693,"10:41am expressway,9122018 10:41am expressway"
694,None
695,None
696,None
697,None
698,"10:22am expressway,ocrd: 10:22am expressway"
699,None
700,"r heights,exit160a r heights,rht lane,exit160a rht lane"
701,"l fort,exit164 l fort,lft lane,exit164 lft lane"
702,"l fort,2 l fort"
703,None
704,"nc street,& nc street,r heights,line r heights,rht lane,line rht lane"
705,None
706,"l fort,exit66 l fort,lft lane,exit66 lft lane"
707,None
708,"l fort,exit56 l fort,lft lane,exit56 lft lane"
709,None
710,"l fort,exit57 l fort,lft lane,exit57 lft lane"
711,"l fort,2 l fort"
712,"l fort,exit57 l fort,lft lane,exit57 lft lane"
713,None
714,None
715,"r heights,exit87 r heights,rht lane,exit87 rht lane"
716,None
717,"r heights,exit19 r heights,rht lane,exit19 rht lane"
718,"82a82b82c-us21sc161-rock hill,exits 82a82b82c-us21sc161-rock hill,l fort,hill l fort,lft lane,hill lft lane"
719,"r heights,exit87 r heights,rht lane,exit87 rht lane"
720,"rd-green ville,51a-sc146-woodruff rd-green ville,r heights,2 r heights"
721,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,2 l fort"
722,"l fort,exit90 l fort,lft lane,exit90 lft lane"
723,"l fort,exit90 l fort,lft lane,exit90 lft lane"
724,"l fort,exit90 l fort,lft lane,exit90 lft lane"
725,None
726,"51b-i385s-green ville,exit 51b-i385s-green ville,rd-green ville,51a-sc146-woodruff rd-green ville"
727,"rd-green ville,51a-sc146-woodruff rd-green ville,r heights,rd-greenville r heights,rht lane,rd-greenville rht lane"
728,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,exit54 l fort,lft lane,exit54 lft lane"
729,"r heights,2 r heights"
730,"r heights,exit1 r heights,rht lane,exit1 rht lane"
